CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG25213010;PRECIPITATION;2013;15.700417;33.2845744;65.503593;117.094808;59.4235032;40.0074924;19.49799;14.99831416;80.409589;24.0885729;14.5386968;18.3410422;19.0768267;0;2.508802;0;25.5423747;6.2755948;11.3414108;0;29.903447;39.673656;15.0466814;4.4876371;12.40378;1.1015679;5.41790673;16.6182764;6.0148545;3.219634;22.1443034;6.5300566;6.7820188;21.13126776;9.18848848;48.022086;10.1523784;26.102223;6.1282549;34.6615351;50.699124;38.2354683;17.4458761;4.82754279;81.172993;198.7121;138.947219;83.021809;66.746132;12.5409883;18.3004262;28.79314121
MDG25213010;PRECIPITATION;2014;8.6867164;60.297539;62.132121;48.9455384;8.86956;72.9969623;7.71724163;60.1971371;33.753564;55.982204;12.233219;2.6168663;5.085064;27.0222567;0.08598194;0;20.1150227;0.02415562;2.3888574;40.53602503;6.7663426;16.09114049;48.1713949;32.165264;0.6276121;41.936308;6.03817108;5.6634256;0.140478;24.908138;18.98474;16.443837;2.0572055;14.8005298;14.60851067;0.09185252;39.444931;33.9531884;14.84252184;10.79712822;25.8110266;10.19102069;11.90093799;28.28809339;11.7011592;19.8633233;37.9933964;37.5189883;151.7546843;122.3740952;25.3325657;52.5941008
MDG25213010;PRECIPITATION;2015;57.16924;42.801378;52.820263;45.971567;30.8740314;52.884418;0.4831359;45.24425627;59.079128;27.6447619;12.14647;0;0.7534886;1.2695187;0.6808086;4.3089278;3.0080326;2.7385503;0.1400024;2.7216908;0.3372664;0.5791704;1.3986312;2.8215004;8.932136;2.91030051;1.5286995;2.0119592;12.8345236;12.7833649;12.088272;9.4356798;9.8895374;4.4198992;1.3736922;26.012046;0.83604457;4.3383036;6.5934184;4.8436579;5.09728994;47.4094876;308.42856;43.536804;236.602216;33.7126678;50.186961;36.1017829;28.649472;166.3815642;130.227556;76.8922346
MDG25213010;PRECIPITATION;2016;20.134649;5.2281526;21.7122986;1.275409;5.6566202;7.35481818;17.8292714;9.8868283;46.1740494;28.077947;11.36281;1.072183;4.3811292;13.6785138;0;2.155718;0.385301;3.42263838;1.7161725;2.2940879;1.59735782;1.3401616;3.9615459;0;6.0226879;14.9827343;2.2307914;22.8485116;18.2161577;6.57999559;21.317581;13.1027859;3.4366974;11.1702556;13.0349904;3.2539853;0;5.4819835;1.2430343;7.5508414;93.3134371;29.2012868;11.4377929;71.863174;21.614432;34.4031446;20.9187331;27.866661;26.978086;4.5960161;43.376014;12.464284
MDG25213010;PRECIPITATION;2017;16.00944077;32.62405758;12.5786006;98.860173;97.76316;54.2989271;66.3645771;0.3995057;1.46329185;1.1865687;0.4987722;0;0.1709927;3.615158;1.42532165;0;0;2.9132336;0.7409839;0.1702029;17.4430792;1.6385902;18.0788345;0;0.4020448;2.5768808;5.423682;1.9710171;3.173581;35.1288466;2.83819;1.7958303;10.23811334;3.6750943;5.8098908;9.8624747;7.210663;2.0783619;8.3763045;52.2880357;14.1926852;16.9636703;160.4969518;26.206353;104.983016;54.488489;28.7260914;30.6806894;14.04213434;9.449185;4.1786375;27.732888
MDG25213030;PRECIPITATION;2013;15.700417;33.2845744;65.503593;117.094808;59.4235032;40.0074924;19.49799;14.99831416;80.409589;24.0885729;14.5386968;18.3410422;19.0768267;0;2.508802;0;25.5423747;6.2755948;11.3414108;0;29.903447;39.673656;15.0466814;4.4876371;12.40378;1.1015679;5.41790673;16.6182764;6.0148545;3.219634;22.1443034;6.5300566;6.7820188;21.13126776;9.18848848;48.022086;10.1523784;26.102223;6.1282549;34.6615351;50.699124;38.2354683;17.4458761;4.82754279;81.172993;198.7121;138.947219;83.021809;66.746132;12.5409883;18.3004262;28.79314121
MDG25213030;PRECIPITATION;2014;8.6867164;60.297539;62.132121;48.9455384;8.86956;72.9969623;7.71724163;60.1971371;33.753564;55.982204;12.233219;2.6168663;5.085064;27.0222567;0.08598194;0;20.1150227;0.02415562;2.3888574;40.53602503;6.7663426;16.09114049;48.1713949;32.165264;0.6276121;41.936308;6.03817108;5.6634256;0.140478;24.908138;18.98474;16.443837;2.0572055;14.8005298;14.60851067;0.09185252;39.444931;33.9531884;14.84252184;10.79712822;25.8110266;10.19102069;11.90093799;28.28809339;11.7011592;19.8633233;37.9933964;37.5189883;151.7546843;122.3740952;25.3325657;52.5941008
MDG25213030;PRECIPITATION;2015;57.16924;42.801378;52.820263;45.971567;30.8740314;52.884418;0.4831359;45.24425627;59.079128;27.6447619;12.14647;0;0.7534886;1.2695187;0.6808086;4.3089278;3.0080326;2.7385503;0.1400024;2.7216908;0.3372664;0.5791704;1.3986312;2.8215004;8.932136;2.91030051;1.5286995;2.0119592;12.8345236;12.7833649;12.088272;9.4356798;9.8895374;4.4198992;1.3736922;26.012046;0.83604457;4.3383036;6.5934184;4.8436579;5.09728994;47.4094876;308.42856;43.536804;236.602216;33.7126678;50.186961;36.1017829;28.649472;166.3815642;130.227556;76.8922346
MDG25213030;PRECIPITATION;2016;20.134649;5.2281526;21.7122986;1.275409;5.6566202;7.35481818;17.8292714;9.8868283;46.1740494;28.077947;11.36281;1.072183;4.3811292;13.6785138;0;2.155718;0.385301;3.42263838;1.7161725;2.2940879;1.59735782;1.3401616;3.9615459;0;6.0226879;14.9827343;2.2307914;22.8485116;18.2161577;6.57999559;21.317581;13.1027859;3.4366974;11.1702556;13.0349904;3.2539853;0;5.4819835;1.2430343;7.5508414;93.3134371;29.2012868;11.4377929;71.863174;21.614432;34.4031446;20.9187331;27.866661;26.978086;4.5960161;43.376014;12.464284
MDG25213030;PRECIPITATION;2017;16.00944077;32.62405758;12.5786006;98.860173;97.76316;54.2989271;66.3645771;0.3995057;1.46329185;1.1865687;0.4987722;0;0.1709927;3.615158;1.42532165;0;0;2.9132336;0.7409839;0.1702029;17.4430792;1.6385902;18.0788345;0;0.4020448;2.5768808;5.423682;1.9710171;3.173581;35.1288466;2.83819;1.7958303;10.23811334;3.6750943;5.8098908;9.8624747;7.210663;2.0783619;8.3763045;52.2880357;14.1926852;16.9636703;160.4969518;26.206353;104.983016;54.488489;28.7260914;30.6806894;14.04213434;9.449185;4.1786375;27.732888
